Parameter	Value	Regime	Scale
Residual.Deviance	0,3394284	Regime3	4000
Correlation	0,9063164	Regime3	4000
AUC	0,9945	Regime3	4000
Per.Expl	63,4193547	Regime3	4000
cvDeviance	0,7415794	Regime3	4000
cvCorrelation	0,4554782	Regime3	4000
cvAUC	0,7927	Regime3	4000
cvPer.Expl	20,0790143	Regime3	4000
Total.Deviance	0,8733195	Regime5	4000
Residual.Deviance	0,2037751	Regime5	4000
Correlation	0,9395792	Regime5	4000
AUC	0,9993	Regime5	4000
Per.Expl	76,6666057	Regime5	4000
cvDeviance	0,5738995	Regime5	4000
cvCorrelation	0,5902532	Regime5	4000
cvAUC	0,84635	Regime5	4000
cvPer.Expl	34,2852774	Regime5	4000
